VDF,VDF_TYPE,FT,AT,period,CUT_OFF_SPD,ULT_CAP,K_CRI,FFS,mm,peak_hour_factor,alpha,beta,per_error,per_error_demand
"(0, 0)",0,0,0,0600_0900,57.1345843109383,2079.0740655254226,36.389064357424374,69.99999999999999,6.8261568664385655,3.085014475007681,1.2900000000000003,7.420000000000001,0.23777132593936084,0.03929287824096352
"(0, 0)",0,0,0,0900_1400,57.1345843109383,2079.0740655254226,36.389064357424374,69.99999999999999,6.8261568664385655,4.821891122464695,0.15000000000000002,4.870000000000001,0.23775962558566635,0.04954406587392761
"(0, 0)",0,0,0,1400_1800,57.1345843109383,2079.0740655254226,36.389064357424374,69.99999999999999,6.8261568664385655,2.3288357500700005,0.46999999999999986,4.0,0.3316288322883362,0.23681934478086486
"(0, 0)",0,0,0,1800_0600,57.1345843109383,2079.0740655254226,36.389064357424374,69.99999999999999,6.8261568664385655,7.035246531977926,0.15000000000000002,3.4600000000000004,0.6568326982612624,0.20271240355723966
"(1, 0)",1,1,0,0600_0900,52.44252638776033,1746.716905353078,33.307260837089416,66.38833787532424,5.879021883698259,3.2579254468323997,0.3,6.459999999999999,0.061982762454154544,0.04525238533620614
"(1, 0)",1,1,0,0900_1400,52.44252638776033,1746.716905353078,33.307260837089416,66.38833787532424,5.879021883698259,5.213553919033859,0.26,4.259999999999999,0.16038095654723933,0.04385171362357318
"(1, 0)",1,1,0,1400_1800,52.44252638776033,1746.716905353078,33.307260837089416,66.38833787532424,5.879021883698259,2.364819277669857,0.31000000000000005,4.2299999999999995,0.24055783113844187,0.26969663496975815
"(1, 0)",1,1,0,1800_0600,52.44252638776033,1746.716905353078,33.307260837089416,66.38833787532424,5.879021883698259,8.81901266779413,0.32999999999999996,3.9300000000000006,0.5192705145904039,0.2057278286657206
