link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_hour_factor,congestion_period
78,3,4,1/1/2016,0,0,0600_0900,1815.0,605.0,71.80555555583334,8.402784660783972,0,0,362.0,420.0,5.013812154696133,0.25
78,3,4,1/10/2016,0,0,0600_0900,1185.0,395.0,72.05555555583334,5.50175847139711,0,0,382.0,368.0,3.102094240837696,0.25
78,3,4,1/11/2016,0,0,0600_0900,1694.0,564.6666666666666,71.80555555666668,7.869717831425045,0,0,556.0,364.0,3.0467625899280577,0.25
78,3,4,1/12/2016,0,0,0600_0900,1485.0,495.0,71.66666666666667,6.917757128455935,0,0,474.0,316.0,3.132911392405063,0.25
78,3,4,1/13/2016,0,0,0600_0900,1582.0,527.3333333333334,71.49999999833334,7.3738424731529335,0,0,592.0,360.0,2.6722972972972974,0.25
78,3,4,1/14/2016,0,0,0600_0900,1500.0,500.0,71.36111111,7.008117764112755,0,0,481.0,388.0,3.1185031185031185,0.25
78,3,4,1/15/2016,0,0,0600_0900,921.0,409.3333333333333,71.57407407333335,5.749179773464318,0,0,151.0,24.0,3.1008996297448967,0.25
78,3,4,1/16/2016,0,0,0600_0900,1860.0,620.0,73.58333333333333,8.42978801115041,0,0,602.0,304.0,3.089700996677741,0.25
78,3,4,1/17/2016,0,0,0600_0900,1087.0,362.3333333333333,71.72222222166666,5.074883648942226,0,0,328.0,324.0,3.3140243902439024,0.25
78,3,4,1/18/2016,0,0,0600_0900,1458.0,486.0,71.805555555,6.761031307907384,0,0,446.0,312.0,3.2690582959641254,0.25
78,3,4,1/19/2016,0,0,0600_0900,1503.0,501.0,71.86111111166666,6.9864417479829015,0,0,415.0,284.0,3.621686746987952,0.25
78,3,4,1/2/2016,0,0,0600_0900,1215.0,405.0,73.11111111083333,5.549765326304612,0,0,375.0,252.0,3.24,0.25
78,3,4,1/20/2016,0,0,0600_0900,1602.0,534.0,71.5833333325,7.470536232079695,0,0,423.0,400.0,3.7872340425531914,0.25
78,3,4,1/21/2016,0,0,0600_0900,1649.0,549.6666666666666,71.05555555583334,7.740437297836217,0,0,531.0,388.0,3.105461393596987,0.25
78,3,4,1/22/2016,0,0,0600_0900,1703.0,567.6666666666666,71.47222222166667,7.975921842242972,0,0,468.0,344.0,3.638888888888889,0.25
78,3,4,1/23/2016,0,0,0600_0900,1713.0,571.0,72.75000000166666,7.84836565642576,0,0,451.0,300.0,3.7982261640798227,0.25
78,3,4,1/24/2016,0,0,0600_0900,1037.0,345.6666666666667,71.86111111166667,4.826768913832282,0,0,323.0,380.0,3.210526315789474,0.25
78,3,4,1/25/2016,0,0,0600_0900,1636.0,545.3333333333334,71.3333333325,7.644835444707127,0,0,591.0,444.0,2.7681895093062607,0.25
78,3,4,1/26/2016,0,0,0600_0900,1535.0,511.6666666666667,71.47222222166668,7.163823461386358,0,0,573.0,348.0,2.6788830715532286,0.25
78,3,4,1/27/2016,0,0,0600_0900,1688.0,562.6666666666666,71.33333333333333,7.894032246837175,0,0,439.0,388.0,3.845102505694761,0.25
78,3,4,1/28/2016,0,0,0600_0900,1769.0,589.6666666666666,70.97222222250001,8.32187468349529,0,0,553.0,384.0,3.1989150090415914,0.25
78,3,4,1/29/2016,0,0,0600_0900,1819.0,606.3333333333334,71.55555555583334,8.482412343068994,0,0,661.0,432.0,2.7518910741301057,0.25
78,3,4,1/3/2016,0,0,0600_0900,1148.0,382.6666666666667,72.16666666750001,5.29157889263468,0,0,251.0,188.0,3.865182166066386,0.25
78,3,4,1/30/2016,0,0,0600_0900,1758.0,586.0,72.66666666583333,8.061179814674938,0,0,493.0,500.0,3.5659229208924947,0.25
78,3,4,1/31/2016,0,0,0600_0900,787.0,262.3333333333333,71.944444445,3.6664394736880426,0,0,208.0,68.0,2.6497372514758237,0.25
78,3,4,1/5/2016,0,0,0600_0900,1665.0,555.0,70.333333335,7.897122857561315,0,0,578.0,320.0,2.8806228373702423,0.25
78,3,4,1/6/2016,0,0,0600_0900,1611.0,537.0,71.11111111250001,7.5534467907658325,0,0,563.0,384.0,2.8614564831261102,0.25
78,3,4,1/7/2016,0,0,0600_0900,1789.0,596.3333333333334,67.52777777749999,8.923960396171761,0,0,636.0,404.0,2.8128930817610063,0.25
78,3,4,1/8/2016,0,0,0600_0900,1788.0,596.0,70.9722222225,8.402677519850219,0,0,600.0,468.0,2.98,0.25
78,3,4,1/9/2016,0,0,0600_0900,1643.0,547.6666666666666,73.30555555583334,7.465893956743963,0,0,426.0,292.0,3.856807511737089,0.25
78,3,4,2/1/2016,0,0,0600_0900,1458.0,486.0,72.41666666666667,6.720097482653601,0,0,378.0,292.0,3.857142857142857,0.25
78,3,4,2/10/2016,0,0,0600_0900,1707.0,569.0,71.08333333416665,8.00878096162993,0,0,607.0,476.0,2.812191103789127,0.25
78,3,4,2/11/2016,0,0,0600_0900,1762.0,587.3333333333334,71.22222222250001,8.2576734656902,0,0,636.0,480.0,2.770440251572327,0.25
78,3,4,2/12/2016,0,0,0600_0900,1994.0,664.6666666666666,70.80555555583332,9.396621357642395,0,0,704.0,452.0,2.8323863636363638,0.25
78,3,4,2/13/2016,0,0,0600_0900,2107.0,702.3333333333334,72.52777777833334,9.683104294098259,0,0,816.0,292.0,2.582107843137255,0.25
78,3,4,2/14/2016,0,0,0600_0900,1199.0,399.6666666666667,72.27777777833334,5.5319801283954915,0,0,380.0,400.0,3.155263157894737,0.25
78,3,4,2/15/2016,0,0,0600_0900,1713.0,571.0,72.13888888916667,7.932196661837854,0,0,606.0,304.0,2.8267326732673266,0.25
78,3,4,2/16/2016,0,0,0600_0900,1644.0,548.0,71.61111111083333,7.658879929697186,0,0,593.0,376.0,2.7723440134907253,0.25
78,3,4,2/17/2016,0,0,0600_0900,1662.0,554.0,70.80555555583334,7.828508467936477,0,0,486.0,324.0,3.419753086419753,0.25
78,3,4,2/18/2016,0,0,0600_0900,1750.0,583.3333333333334,70.22222222333335,8.318675382080611,0,0,615.0,460.0,2.845528455284553,0.25
78,3,4,2/19/2016,0,0,0600_0900,1899.0,633.0,70.99999999833334,8.920469348012544,0,0,508.0,496.0,3.7381889763779528,0.25
78,3,4,2/2/2016,0,0,0600_0900,1582.0,527.3333333333334,72.47222222083333,7.279516498010346,0,0,556.0,428.0,2.8453237410071943,0.25
78,3,4,2/20/2016,0,0,0600_0900,1964.0,654.6666666666666,72.58333333333333,9.029296265616907,0,0,514.0,204.0,3.821011673151751,0.25
78,3,4,2/21/2016,0,0,0600_0900,1204.0,401.3333333333333,71.33333333333333,5.629380041542401,0,0,334.0,328.0,3.604790419161677,0.25
78,3,4,2/23/2016,0,0,0600_0900,1652.0,550.6666666666666,71.24999999999999,7.734984356417776,0,0,579.0,420.0,2.853195164075993,0.25
78,3,4,2/24/2016,0,0,0600_0900,1693.0,564.3333333333334,71.33333333333333,7.914015814570217,0,0,517.0,528.0,3.274661508704062,0.25
78,3,4,2/25/2016,0,0,0600_0900,1897.0,632.3333333333334,71.58333333249999,8.84087099929152,0,0,609.0,540.0,3.1149425287356323,0.25
78,3,4,2/26/2016,0,0,0600_0900,1873.0,624.3333333333334,71.38888889000002,8.755029662203869,0,0,583.0,460.0,3.2126929674099487,0.25
78,3,4,2/27/2016,0,0,0600_0900,2204.0,734.6666666666666,72.694444445,10.10926459899671,0,0,605.0,292.0,3.6429752066115704,0.25
78,3,4,2/28/2016,0,0,0600_0900,1102.0,367.3333333333333,72.805555555,5.05357447360248,0,0,476.0,180.0,2.3151260504201683,0.25
78,3,4,2/29/2016,0,0,0600_0900,1707.0,569.0,70.8055555575,8.045996037856417,0,0,610.0,436.0,2.7983606557377048,0.25
78,3,4,2/3/2016,0,0,0600_0900,1600.0,533.3333333333334,71.27777777749999,7.47474930116253,0,0,554.0,336.0,2.888086642599278,0.25
78,3,4,2/4/2016,0,0,0600_0900,1730.0,576.6666666666666,72.00000000083334,8.020367209921293,0,0,630.0,444.0,2.746031746031746,0.25
78,3,4,2/7/2016,0,0,0600_0900,1280.0,426.6666666666667,69.72222222250001,6.150886650830664,0,0,503.0,368.0,2.5447316103379722,0.25
78,3,4,2/8/2016,0,0,0600_0900,1619.0,539.6666666666666,71.63888888833334,7.5384296419268475,0,0,427.0,412.0,3.791569086651054,0.25
78,3,4,2/9/2016,0,0,0600_0900,1573.0,524.3333333333334,71.33333333416668,7.355492055521343,0,0,587.0,276.0,2.679727427597956,0.25
84,5,6,1/1/2016,0,0,0600_0900,1546.0,515.3333333333334,76.22222222166666,6.764804319273668,0,0,193.0,128.0,5.205201767193931,0.25
84,5,6,1/10/2016,0,0,0600_0900,1018.0,339.3333333333333,75.63888888916667,4.474943174123745,0,0,306.0,140.0,3.326797385620915,0.25
84,5,6,1/11/2016,0,0,0600_0900,1900.0,633.3333333333334,70.25000000083334,9.036182411833074,0,0,688.0,388.0,2.761627906976744,0.25
84,5,6,1/12/2016,0,0,0600_0900,1718.0,572.6666666666666,70.4722222225,8.15119319126909,0,0,631.0,332.0,2.722662440570523,0.25
84,5,6,1/13/2016,0,0,0600_0900,1830.0,610.0,69.94444444416666,8.738487897874814,0,0,656.0,392.0,2.7896341463414633,0.25
84,5,6,1/14/2016,0,0,0600_0900,1783.0,594.3333333333334,70.194444445,8.479766625882561,0,0,563.0,444.0,3.1669626998223803,0.25
84,5,6,1/15/2016,0,0,0600_0900,1115.0,495.55555555555554,70.16666666666667,7.101967530904149,0,0,209.0,44.0,3.7540750132090768,0.25
84,5,6,1/16/2016,0,0,0600_0900,1918.0,639.3333333333334,74.58333333416667,8.562879517195674,0,0,398.0,268.0,4.819095477386934,0.25
84,5,6,1/17/2016,0,0,0600_0900,935.0,311.6666666666667,75.3611111125,4.1134393459525365,0,0,198.0,104.0,3.1480359976237553,0.25
84,5,6,1/18/2016,0,0,0600_0900,1571.0,523.6666666666666,73.05555555583334,7.175189646808651,0,0,500.0,384.0,3.142,0.25
84,5,6,1/19/2016,0,0,0600_0900,1766.0,588.6666666666666,70.86111111166667,8.349023420433916,0,0,679.0,300.0,2.6008836524300443,0.25
84,5,6,1/2/2016,0,0,0600_0900,1214.0,404.6666666666667,75.36111111250001,5.375446889589354,0,0,409.0,240.0,2.968215158924205,0.25
84,5,6,1/20/2016,0,0,0600_0900,1796.0,598.6666666666666,70.41666666666667,8.520045738741933,0,0,668.0,416.0,2.688622754491018,0.25
84,5,6,1/21/2016,0,0,0600_0900,1922.0,640.6666666666666,69.77777777749999,9.193895817710356,0,0,622.0,424.0,3.090032154340836,0.25
84,5,6,1/22/2016,0,0,0600_0900,1906.0,635.3333333333334,70.0,9.104499198048526,0,0,702.0,324.0,2.715099715099715,0.25
84,5,6,1/23/2016,0,0,0600_0900,1805.0,601.6666666666666,74.77777777749999,8.044911964668364,0,0,440.0,208.0,4.1022727272727275,0.25
84,5,6,1/24/2016,0,0,0600_0900,869.0,289.6666666666667,75.69444444333334,3.8210887411032637,0,0,217.0,128.0,2.925821691909137,0.25
84,5,6,1/25/2016,0,0,0600_0900,1873.0,624.3333333333334,70.86111111166666,8.8220593904913,0,0,569.0,408.0,3.2917398945518452,0.25
84,5,6,1/26/2016,0,0,0600_0900,1733.0,577.6666666666666,72.33333333416667,8.003225258186056,0,0,614.0,396.0,2.8224755700325734,0.25
84,5,6,1/27/2016,0,0,0600_0900,1965.0,655.0,71.99999999999999,9.113607892642023,0,0,514.0,468.0,3.82295719844358,0.25
84,5,6,1/28/2016,0,0,0600_0900,2163.0,721.0,70.11111111166667,10.372583615582341,0,0,839.0,484.0,2.5780691299165674,0.25
84,5,6,1/29/2016,0,0,0600_0900,2107.0,702.3333333333334,71.33333333333333,9.868825002257095,0,0,727.0,496.0,2.8982118294360384,0.25
84,5,6,1/3/2016,0,0,0600_0900,1078.0,359.3333333333333,75.83333333249999,4.721702574433858,0,0,217.0,156.0,3.629500326672094,0.25
84,5,6,1/30/2016,0,0,0600_0900,1776.0,592.0,77.52777777749999,7.636000455324715,0,0,491.0,280.0,3.6171079429735236,0.25
84,5,6,1/31/2016,0,0,0600_0900,703.0,255.63636363636363,76.06060606,3.3677305634466608,0,0,138.0,92.0,2.3669190442026737,0.25
84,5,6,1/5/2016,0,0,0600_0900,1852.0,617.3333333333334,70.25,8.815357990956342,0,0,677.0,376.0,2.7355982274741506,0.25
84,5,6,1/6/2016,0,0,0600_0900,1786.0,595.3333333333334,70.11111111166667,8.526776681770778,0,0,605.0,348.0,2.9520661157024795,0.25
84,5,6,1/7/2016,0,0,0600_0900,1933.0,644.3333333333334,66.61111111083333,9.808371589213932,8,8,701.0,720.0,2.7574893009985733,0.25
84,5,6,1/8/2016,0,0,0600_0900,2008.0,669.3333333333334,69.61111111166667,9.65668201827854,0,0,570.0,432.0,3.5228070175438595,0.25
84,5,6,1/9/2016,0,0,0600_0900,1688.0,562.6666666666666,74.69444444333332,7.528545942107685,0,0,435.0,284.0,3.8804597701149426,0.25
84,5,6,2/1/2016,0,0,0600_0900,1819.0,606.3333333333334,69.52777777750002,8.738395014533554,0,0,691.0,488.0,2.6324167872648334,0.25
84,5,6,2/10/2016,0,0,0600_0900,1948.0,649.3333333333334,72.47222222333335,8.976286567650277,0,0,671.0,472.0,2.903129657228018,0.25
84,5,6,2/11/2016,0,0,0600_0900,2062.0,687.3333333333334,71.91666666666667,9.568039946703985,0,0,749.0,468.0,2.753004005340454,0.25
84,5,6,2/12/2016,0,0,0600_0900,2231.0,743.6666666666666,70.74999999916666,10.53863412074204,0,0,804.0,412.0,2.7748756218905473,0.25
84,5,6,2/13/2016,0,0,0600_0900,2166.0,722.0,74.66666666583335,9.67178078531008,0,0,641.0,276.0,3.3790951638065523,0.25
84,5,6,2/14/2016,0,0,0600_0900,1097.0,365.6666666666667,76.22222222333333,4.794164707857866,0,0,301.0,156.0,3.644518272425249,0.25
84,5,6,2/15/2016,0,0,0600_0900,1849.0,616.3333333333334,73.33333333249999,8.438099188675862,0,0,689.0,284.0,2.683599419448476,0.25
84,5,6,2/16/2016,0,0,0600_0900,1856.0,618.6666666666666,71.19444444583333,8.718131078133123,0,0,659.0,388.0,2.8163884673748103,0.25
84,5,6,2/17/2016,0,0,0600_0900,2004.0,668.0,70.22222222166666,9.554343118287907,0,0,701.0,384.0,2.8587731811697576,0.25
84,5,6,2/18/2016,0,0,0600_0900,1986.0,662.0,72.30555555583334,9.188820293755604,0,0,642.0,460.0,3.0934579439252334,0.25
84,5,6,2/19/2016,0,0,0600_0900,2246.0,748.6666666666666,71.27777777749999,10.53164639475029,0,0,746.0,536.0,3.0107238605898123,0.25
84,5,6,2/2/2016,0,0,0600_0900,1824.0,608.0,70.47222222166666,8.638909754937954,0,0,670.0,504.0,2.7223880597014927,0.25
84,5,6,2/20/2016,0,0,0600_0900,1872.0,624.0,73.38888888749999,8.263279556999299,0,0,142.0,84.0,6.302805762087347,0.25
84,5,6,2/21/2016,0,0,0600_0900,1101.0,367.0,75.47222222166666,4.849375203296219,0,0,261.0,140.0,3.7069386453302187,0.25
84,5,6,2/23/2016,0,0,0600_0900,1936.0,645.3333333333334,70.19444444416666,9.227027196687446,0,0,678.0,424.0,2.855457227138643,0.25
84,5,6,2/24/2016,0,0,0600_0900,1954.0,651.3333333333334,70.36111111083333,9.277518216217478,0,0,654.0,528.0,2.9877675840978593,0.25
84,5,6,2/25/2016,0,0,0600_0900,2159.0,719.6666666666666,70.27777777916667,10.262907939331576,0,0,625.0,608.0,3.4544,0.25
84,5,6,2/26/2016,0,0,0600_0900,2182.0,727.3333333333334,71.52777777833334,10.195824224374915,0,0,627.0,540.0,3.4800637958532694,0.25
84,5,6,2/27/2016,0,0,0600_0900,2300.0,766.6666666666666,75.36111111166667,10.18478219926136,0,0,565.0,344.0,4.070796460176991,0.25
84,5,6,2/28/2016,0,0,0600_0900,1096.0,365.3333333333333,76.69444444416666,4.767709616325795,0,0,237.0,160.0,3.6901042282306262,0.25
84,5,6,2/29/2016,0,0,0600_0900,2019.0,673.0,71.055555555,9.491043409555969,0,0,695.0,460.0,2.9050359712230214,0.25
84,5,6,2/3/2016,0,0,0600_0900,1862.0,620.6666666666666,70.52777777833334,8.822591694760089,0,0,678.0,380.0,2.746312684365782,0.25
84,5,6,2/4/2016,0,0,0600_0900,2018.0,672.6666666666666,70.38888888916667,9.578494407979248,0,0,746.0,480.0,2.7050938337801607,0.25
84,5,6,2/7/2016,0,0,0600_0900,871.0,290.3333333333333,77.91666666666664,3.723524739568941,0,0,188.0,124.0,2.932555458748974,0.25
84,5,6,2/8/2016,0,0,0600_0900,1830.0,610.0,72.55555555666666,8.426711628381863,0,0,687.0,388.0,2.663755458515284,0.25
84,5,6,2/9/2016,0,0,0600_0900,1835.0,611.6666666666666,72.25000000083332,8.494790083053438,0,0,613.0,348.0,2.99347471451876,0.25
137,1,2,1/1/2016,0,0,0600_0900,1131.0,377.0,71.80555555583334,5.210082295773993,0,0,171.0,120.0,3.8079451479277724,0.25
137,1,2,1/10/2016,0,0,0600_0900,713.0,237.66666666666666,72.00000000000001,3.291392364333834,0,0,179.0,104.0,2.400587878401858,0.25
137,1,2,1/11/2016,0,0,0600_0900,1063.0,354.3333333333333,69.6666666675,5.098888459532231,0,0,307.0,240.0,3.462540716612378,0.25
137,1,2,1/12/2016,0,0,0600_0900,889.0,296.3333333333333,70.52777777833334,4.205802196467125,0,0,301.0,168.0,2.953488372093023,0.25
137,1,2,1/13/2016,0,0,0600_0900,961.0,320.3333333333333,69.83333333416665,4.590863790961854,0,0,325.0,220.0,2.956923076923077,0.25
137,1,2,1/14/2016,0,0,0600_0900,965.0,321.6666666666667,69.91666666666666,4.598211487071714,0,0,334.0,236.0,2.8892215568862274,0.25
137,1,2,1/15/2016,0,0,0600_0900,572.0,254.22222222222223,69.68518518444444,3.6447702088878366,0,0,117.0,24.0,1.925857316193356,0.25
137,1,2,1/16/2016,0,0,0600_0900,1275.0,425.0,72.11111111083333,5.89855722142105,0,0,425.0,208.0,3.0,0.25
137,1,2,1/17/2016,0,0,0600_0900,748.0,249.33333333333334,71.19444444416668,3.5000028377692023,0,0,238.0,120.0,2.518428798099004,0.25
137,1,2,1/18/2016,0,0,0600_0900,914.0,304.6666666666667,70.36111111166666,4.327729439165089,0,0,317.0,160.0,2.8832807570977916,0.25
137,1,2,1/19/2016,0,0,0600_0900,928.0,309.3333333333333,69.44444444416666,4.471446803785621,0,0,328.0,136.0,2.8292682926829267,0.25
137,1,2,1/2/2016,0,0,0600_0900,860.0,286.6666666666667,71.24999999916668,4.021064949889277,0,0,266.0,176.0,2.895519741129871,0.25
137,1,2,1/20/2016,0,0,0600_0900,1002.0,334.0,70.944444445,4.703595238989034,0,0,352.0,244.0,2.846590909090909,0.25
137,1,2,1/21/2016,0,0,0600_0900,1053.0,351.0,68.91666666583332,5.096734028470386,0,0,359.0,292.0,2.933147632311978,0.25
137,1,2,1/22/2016,0,0,0600_0900,1046.0,348.6666666666667,70.66666666583335,4.941842979427152,0,0,395.0,256.0,2.6481012658227847,0.25
137,1,2,1/23/2016,0,0,0600_0900,1201.0,400.3333333333333,70.41666666833335,5.67641416450769,0,0,289.0,208.0,4.043626987322064,0.25
137,1,2,1/24/2016,0,0,0600_0900,690.0,230.0,70.86111111,3.2367320841444407,0,0,142.0,124.0,2.323149559743734,0.25
137,1,2,1/25/2016,0,0,0600_0900,986.0,328.6666666666667,70.11111111083333,4.685852184691025,0,0,315.0,192.0,3.13015873015873,0.25
137,1,2,1/26/2016,0,0,0600_0900,950.0,316.6666666666667,70.0277777775,4.523183741188105,0,0,286.0,228.0,3.1985392489225317,0.25
137,1,2,1/27/2016,0,0,0600_0900,1036.0,345.3333333333333,69.11111110999998,5.002316425068803,0,0,357.0,288.0,2.9019607843137254,0.25
137,1,2,1/28/2016,0,0,0600_0900,1097.0,365.6666666666667,69.55555555416667,5.268274410245886,0,0,359.0,244.0,3.0557103064066853,0.25
137,1,2,1/29/2016,0,0,0600_0900,1154.0,384.6666666666667,70.05555555583334,5.493161281997768,0,0,361.0,284.0,3.1966759002770084,0.25
137,1,2,1/3/2016,0,0,0600_0900,874.0,291.3333333333333,71.77777777833333,4.052442579718741,0,0,173.0,128.0,2.9426561090087295,0.25
137,1,2,1/30/2016,0,0,0600_0900,1228.0,409.3333333333333,71.36111111083333,5.726997321310996,0,0,323.0,264.0,3.801857585139319,0.25
137,1,2,1/31/2016,0,0,0600_0900,524.0,190.54545454545453,71.21212121181817,2.675730962107505,0,0,245.0,56.0,1.7642469120372704,0.25
137,1,2,1/5/2016,0,0,0600_0900,1007.0,335.6666666666667,69.44444444416668,4.8334613393289905,0,0,363.0,220.0,2.7741046831955924,0.25
137,1,2,1/6/2016,0,0,0600_0900,36.0,20.571428571428573,63.09523809428572,0.3166371369188536,4,4,12.0,12.0,0.12120780311706437,0.25
137,1,2,1/7/2016,0,0,0600_0900,1039.0,346.3333333333333,67.05555555583334,5.2541553593830415,0,0,354.0,252.0,2.9350282485875705,0.25
137,1,2,1/8/2016,0,0,0600_0900,1125.0,375.0,70.38888888833333,5.337419435311382,0,0,409.0,296.0,2.750611246943765,0.25
137,1,2,1/9/2016,0,0,0600_0900,1084.0,361.3333333333333,71.55555555583334,5.039827647819159,0,0,279.0,200.0,3.6497016271916047,0.25
137,1,2,2/1/2016,0,0,0600_0900,932.0,310.6666666666667,69.11111111083333,4.510010328807109,0,0,351.0,224.0,2.6552706552706553,0.25
137,1,2,2/10/2016,0,0,0600_0900,1002.0,334.0,68.83333333416665,4.862740014680438,0,0,312.0,260.0,3.2115384615384617,0.25
137,1,2,2/11/2016,0,0,0600_0900,1072.0,357.3333333333333,68.69444444416666,5.193711227529893,0,0,327.0,208.0,3.2782874617737003,0.25
137,1,2,2/12/2016,0,0,0600_0900,1282.0,427.3333333333333,68.97222222250001,6.203703191434696,0,0,440.0,260.0,2.9136363636363636,0.25
137,1,2,2/13/2016,0,0,0600_0900,1592.0,530.6666666666666,71.19444444416665,7.4435319653203225,0,0,415.0,252.0,3.836144578313253,0.25
137,1,2,2/14/2016,0,0,0600_0900,824.0,274.6666666666667,71.49999999916666,3.8387846937666112,0,0,334.0,128.0,2.467065868263473,0.25
137,1,2,2/15/2016,0,0,0600_0900,1077.0,359.0,70.55555555666666,5.091680160967139,0,0,376.0,204.0,2.8643617021276597,0.25
137,1,2,2/16/2016,0,0,0600_0900,1028.0,342.6666666666667,69.75,4.909090970833902,0,0,351.0,240.0,2.9287749287749287,0.25
137,1,2,2/17/2016,0,0,0600_0900,1098.0,366.0,69.1111111125,5.302148736788301,0,0,298.0,240.0,3.684563758389262,0.25
137,1,2,2/18/2016,0,0,0600_0900,1061.0,353.6666666666667,69.33333333333333,5.09782492706448,0,0,349.0,204.0,3.0401146131805157,0.25
137,1,2,2/19/2016,0,0,0600_0900,1151.0,383.6666666666667,69.44444444416666,5.529753924355113,0,0,362.0,312.0,3.179558011049724,0.25
137,1,2,2/2/2016,0,0,0600_0900,902.0,300.6666666666667,68.66666666583332,4.380937153990044,0,0,287.0,256.0,3.036928844766446,0.25
137,1,2,2/20/2016,0,0,0600_0900,1400.0,466.6666666666667,71.61111111166667,6.533502419456269,0,0,480.0,140.0,2.9166666666666665,0.25
137,1,2,2/21/2016,0,0,0600_0900,784.0,261.3333333333333,71.13888889000002,3.661261011749365,0,0,155.0,76.0,2.6396366012160684,0.25
137,1,2,2/23/2016,0,0,0600_0900,949.0,316.3333333333333,69.19444444416668,4.5655732749776385,0,0,287.0,228.0,3.1951723655026134,0.25
