link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_hour_factor,congestion_period
78,3,4,1/1/2016,0,1,1400_1800,3591.0,897.75,71.41666666625,12.568024271615318,0,0,836.0,1016.0,4.295454545454546,0.25
78,3,4,1/10/2016,0,1,1400_1800,4977.0,1244.25,71.104166665625,17.50420623991186,0,0,1283.0,1120.0,3.8791893998441154,0.25
78,3,4,1/12/2016,0,1,1400_1800,4295.0,1073.75,29.7708333333125,56.86966652738775,3,15,2960.0,910.7692307692307,1.4510135135135136,3.25
78,3,4,1/13/2016,0,1,1400_1800,4379.0,1094.75,31.270833332874997,50.502499238141745,3,15,3028.0,931.6923076923077,1.4461690885072656,3.25
78,3,4,1/14/2016,0,1,1400_1800,4405.0,1101.25,30.083333333,55.77474366067714,3,15,3017.0,928.3076923076923,1.4600596619158104,3.25
78,3,4,1/16/2016,0,1,1400_1800,4316.0,1079.0,23.6666666675,53.8118052185072,0,14,3980.0,1061.3333333333333,1.0844221105527638,3.75
78,3,4,1/17/2016,0,1,1400_1800,4881.0,1220.25,70.729166666875,17.25182211197116,0,0,844.0,1268.0,5.783175355450237,0.25
78,3,4,1/18/2016,0,1,1400_1800,6329.0,1582.25,52.916666667499996,30.16098212965765,7,15,3285.0,1460.0,1.9266362252663622,2.25
78,3,4,1/19/2016,0,1,1400_1800,4768.0,1192.0,33.12500000125,46.28582895064808,2,15,3839.0,1096.857142857143,1.2419901015889554,3.5
78,3,4,1/2/2016,0,1,1400_1800,5322.0,1330.5,71.083333333125,18.71705007686137,0,0,1290.0,1324.0,4.125581395348838,0.25
78,3,4,1/20/2016,0,1,1400_1800,4507.0,1126.75,31.875,52.556073720344465,3,15,3131.0,963.3846153846154,1.4394762056850847,3.25
78,3,4,1/21/2016,0,1,1400_1800,4290.0,1072.5,31.833333333937496,48.48431973833017,3,15,2958.0,910.1538461538462,1.4503042596348885,3.25
78,3,4,1/22/2016,0,1,1400_1800,4689.0,1172.25,33.0625,40.736370604495605,2,15,3791.0,1083.142857142857,1.2368768135056714,3.5
78,3,4,1/23/2016,0,1,1400_1800,6718.0,1679.5,55.29166666625,31.014845947575132,4,15,5162.0,1720.6666666666667,1.3014335528864782,3.0
78,3,4,1/24/2016,0,1,1400_1800,4613.0,1153.25,71.47916666625,16.130470490933018,0,0,1097.0,1116.0,4.20510483135825,0.25
78,3,4,1/25/2016,0,1,1400_1800,4191.0,1047.75,29.062499998750003,52.77684883755977,2,15,3313.0,946.5714285714286,1.265016601267733,3.5
78,3,4,1/26/2016,0,1,1400_1800,4525.0,1131.25,34.229166667125,43.23723657788777,4,15,2783.0,927.6666666666666,1.6259432267337406,3.0
78,3,4,1/27/2016,0,1,1400_1800,4464.0,1116.0,34.5416666669375,46.01125784209176,2,15,3540.0,1011.4285714285714,1.2610169491525425,3.5
78,3,4,1/28/2016,0,1,1400_1800,5103.0,1275.75,49.89583333375,26.742686928668455,3,12,3056.0,1222.4,1.6698298429319371,2.5
78,3,4,1/3/2016,0,1,1400_1800,4958.0,1239.5,70.85416666687499,17.511699532871848,0,0,1123.0,1588.0,4.414959928762244,0.25
78,3,4,1/30/2016,0,1,1400_1800,6214.0,1553.5,66.874999999375,23.6326026274692,14,15,1596.0,1568.0,3.893483709273183,0.5
78,3,4,1/31/2016,0,1,1400_1800,5143.0,1285.75,70.70833333375,18.183920153381262,0,0,1177.0,1328.0,4.369583687340697,0.25
78,3,4,1/4/2016,0,1,1400_1800,4455.0,1113.75,37.6041666670625,39.44380911994788,6,15,2147.0,858.8,2.0749883558453655,2.5
78,3,4,1/5/2016,0,1,1400_1800,3933.0,983.25,23.749999999125,65.6743808551831,1,15,3527.0,940.5333333333333,1.1151119931953501,3.75
78,3,4,1/6/2016,0,1,1400_1800,4807.0,1201.75,36.5625,44.22752071498406,5,15,2703.0,982.9090909090909,1.778394376618572,2.75
78,3,4,1/7/2016,0,1,1400_1800,4276.0,1069.0,34.562500000625,42.652353633314824,5,15,2328.0,846.5454545454545,1.8367697594501717,2.75
78,3,4,1/8/2016,0,1,1400_1800,4304.0,1076.0,31.5625,41.4810374023147,2,15,3590.0,1025.7142857142858,1.1988857938718662,3.5
78,3,4,1/9/2016,0,1,1400_1800,6602.0,1650.5,62.64583333375,26.76231285918169,12,15,1230.0,1653.0,5.367479674796748,1.0
78,3,4,2/1/2016,0,1,1400_1800,4590.0,1147.5,37.333333333750005,35.57834484703568,3,15,3337.0,1026.7692307692307,1.375486964339227,3.25
78,3,4,2/10/2016,0,1,1400_1800,4445.0,1111.25,31.562499999812502,48.24642324497107,3,15,3045.0,936.9230769230769,1.4597701149425288,3.25
