link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_hour_factor,congestion_period,VOC_period,VOC,alpha,beta,VDF_TYPE,alpha_day,beta_day
78,3,4,1/1/2016,0,0,0600_0900,1815.0,605.0,71.80555555583334,8.402784660783972,0,0,362.0,420.0,5.013812154696133,0.25,0.28599735241701124,0.17411597114435437,1.29,7.42,0,0.32,2.7
78,3,4,1/10/2016,0,0,0600_0900,1185.0,395.0,72.05555555583334,5.50175847139711,0,0,382.0,368.0,3.102094240837696,0.25,0.28599735241701124,0.1837356380584071,1.29,7.42,0,0.32,2.7
78,3,4,1/11/2016,0,0,0600_0900,1694.0,564.6666666666666,71.80555555666668,7.869717831425045,0,0,556.0,364.0,3.0467625899280577,0.25,0.28599735241701124,0.2674267402106658,1.29,7.42,0,0.32,2.7
78,3,4,1/12/2016,0,0,0600_0900,1485.0,495.0,71.66666666666667,6.917757128455935,0,0,474.0,316.0,3.132911392405063,0.25,0.28599735241701124,0.22798610586304963,1.29,7.42,0,0.32,2.7
78,3,4,1/13/2016,0,0,0600_0900,1582.0,527.3333333333334,71.49999999833334,7.3738424731529335,0,0,592.0,360.0,2.6722972972972974,0.25,0.28599735241701124,0.2847421406559607,1.29,7.42,0,0.32,2.7
78,3,4,1/14/2016,0,0,0600_0900,1500.0,500.0,71.36111111,7.008117764112755,0,0,481.0,388.0,3.1185031185031185,0.25,0.28599735241701124,0.2313529892829681,1.29,7.42,0,0.32,2.7
78,3,4,1/15/2016,0,0,0600_0900,921.0,409.3333333333333,71.57407407333335,5.749179773464318,0,0,151.0,24.0,3.1008996297448967,0.25,0.28599735241701124,0.07262848520109809,1.29,7.42,0,0.32,2.7
78,3,4,1/16/2016,0,0,0600_0900,1860.0,620.0,73.58333333333333,8.42978801115041,0,0,602.0,304.0,3.089700996677741,0.25,0.28599735241701124,0.2895519741129871,1.29,7.42,0,0.32,2.7
78,3,4,1/17/2016,0,0,0600_0900,1087.0,362.3333333333333,71.72222222166666,5.074883648942226,0,0,328.0,324.0,3.3140243902439024,0.25,0.28599735241701124,0.15776253739046472,1.29,7.42,0,0.32,2.7
78,3,4,1/18/2016,0,0,0600_0900,1458.0,486.0,71.805555555,6.761031307907384,0,0,446.0,312.0,3.2690582959641254,0.25,0.28599735241701124,0.21451857218337583,1.29,7.42,0,0.32,2.7
78,3,4,1/19/2016,0,0,0600_0900,1503.0,501.0,71.86111111166666,6.9864417479829015,0,0,415.0,284.0,3.621686746987952,0.25,0.28599735241701124,0.19960808846659409,1.29,7.42,0,0.32,2.7
78,3,4,1/2/2016,0,0,0600_0900,1215.0,405.0,73.11111111083333,5.549765326304612,0,0,375.0,252.0,3.24,0.25,0.28599735241701124,0.18036875463848864,1.29,7.42,0,0.32,2.7
78,3,4,1/20/2016,0,0,0600_0900,1602.0,534.0,71.5833333325,7.470536232079695,0,0,423.0,400.0,3.7872340425531914,0.25,0.28599735241701124,0.20345595523221519,1.29,7.42,0,0.32,2.7
78,3,4,1/21/2016,0,0,0600_0900,1649.0,549.6666666666666,71.05555555583334,7.740437297836217,0,0,531.0,388.0,3.105461393596987,0.25,0.28599735241701124,0.2554021565680999,1.29,7.42,0,0.32,2.7
78,3,4,1/22/2016,0,0,0600_0900,1703.0,567.6666666666666,71.47222222166667,7.975921842242972,0,0,468.0,344.0,3.638888888888889,0.25,0.28599735241701124,0.22510020578883383,1.29,7.42,0,0.32,2.7
78,3,4,1/23/2016,0,0,0600_0900,1713.0,571.0,72.75000000166666,7.84836565642576,0,0,451.0,300.0,3.7982261640798227,0.25,0.28599735241701124,0.216923488911889,1.29,7.42,0,0.32,2.7
78,3,4,1/24/2016,0,0,0600_0900,1037.0,345.6666666666667,71.86111111166667,4.826768913832282,0,0,323.0,380.0,3.210526315789474,0.25,0.28599735241701124,0.15535762066195155,1.29,7.42,0,0.32,2.7
78,3,4,1/25/2016,0,0,0600_0900,1636.0,545.3333333333334,71.3333333325,7.644835444707127,0,0,591.0,444.0,2.7681895093062607,0.25,0.28599735241701124,0.2842611573102581,1.29,7.42,0,0.32,2.7
78,3,4,1/26/2016,0,0,0600_0900,1535.0,511.6666666666667,71.47222222166668,7.163823461386358,0,0,573.0,348.0,2.6788830715532286,0.25,0.28599735241701124,0.27560345708761064,1.29,7.42,0,0.32,2.7
78,3,4,1/27/2016,0,0,0600_0900,1688.0,562.6666666666666,71.33333333333333,7.894032246837175,0,0,439.0,388.0,3.845102505694761,0.25,0.28599735241701124,0.21115168876345736,1.29,7.42,0,0.32,2.7
78,3,4,1/28/2016,0,0,0600_0900,1769.0,589.6666666666666,70.97222222250001,8.32187468349529,0,0,553.0,384.0,3.1989150090415914,0.25,0.28599735241701124,0.2659837901735579,1.29,7.42,0,0.32,2.7
