link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_hour_factor,congestion_period
78,3,4,1/1/2016,1,1,0600_0900,2199.75,733.25,62.93749999999999,11.605495540253008,0,0,555.0,419.0,3.9635135135135133,0.25
78,3,4,1/10/2016,1,1,0600_0900,1821.0,607.0,64.08333333416668,9.447405997629863,0,0,480.75,367.0,3.7878315132605302,0.25
78,3,4,1/11/2016,1,1,0600_0900,4039.0,1346.3333333333333,63.07638888833333,21.35058453616757,0,0,1406.25,1081.0,2.872177777777778,0.25
78,3,4,1/12/2016,1,1,0600_0900,3982.25,1327.4166666666667,62.1527777775,21.36958684898417,0,0,1396.5,1042.0,2.8515932688865018,0.25
78,3,4,1/13/2016,1,1,0600_0900,4044.25,1348.0833333333333,62.95138888833333,21.42219777172613,0,0,1445.25,1105.0,2.7983047915585537,0.25
78,3,4,1/14/2016,1,1,0600_0900,3945.75,1315.25,60.79861111166667,21.656537541743578,0,0,1345.25,1130.0,2.9330979371863966,0.25
78,3,4,1/15/2016,1,1,0600_0900,1891.25,840.5555555555555,63.245370369999996,13.3140769054207,0,0,844.0,79.0,2.2408175355450237,0.25
78,3,4,1/16/2016,1,1,0600_0900,2675.75,891.9166666666666,64.17361111,13.88132559828047,0,0,775.75,541.0,3.4492426683854336,0.25
78,3,4,1/17/2016,1,1,0600_0900,2087.5,695.8333333333334,63.23611111083333,10.964690387132949,0,0,485.75,339.0,4.297478126608338,0.25
78,3,4,1/18/2016,1,1,0600_0900,3463.25,1154.4166666666667,63.73611111083333,18.123307800330277,0,0,1193.75,964.0,2.901151832460733,0.25
78,3,4,1/19/2016,1,1,0600_0900,3964.0,1321.3333333333333,63.52083333416667,20.808334999558937,0,0,1280.75,1052.0,3.095061487409721,0.25
78,3,4,1/2/2016,1,1,0600_0900,2046.25,682.0833333333334,63.79861111083334,10.675293301628907,0,0,622.25,434.0,3.288469264764966,0.25
78,3,4,1/20/2016,1,1,0600_0900,4062.5,1354.1666666666667,63.333333333333336,21.38962956635024,0,0,1284.0,1098.0,3.1639408099688473,0.25
78,3,4,1/21/2016,1,1,0600_0900,4037.25,1345.75,62.75000000083333,21.45185402628385,0,0,1415.0,1183.0,2.8531802120141343,0.25
78,3,4,1/22/2016,1,1,0600_0900,4053.75,1351.25,62.78472222166666,21.52727485771585,0,0,992.75,1041.0,4.0833543188113826,0.25
78,3,4,1/23/2016,1,1,0600_0900,2658.25,886.0833333333334,63.805555555833344,13.881013379492886,0,0,725.25,550.0,3.6652878317821442,0.25
78,3,4,1/24/2016,1,1,0600_0900,1727.5,575.8333333333334,63.159722222500015,9.092172840624492,0,0,416.75,351.0,4.145170965806838,0.25
78,3,4,1/25/2016,1,1,0600_0900,4044.75,1348.25,63.333333334166674,21.289846868842705,0,0,1455.0,1139.0,2.7798969072164947,0.25
78,3,4,1/26/2016,1,1,0600_0900,4056.5,1352.1666666666667,61.812499999166654,21.957627242084047,3,3,1441.25,1396.0,2.814570685169124,0.25
78,3,4,1/27/2016,1,1,0600_0900,4021.75,1340.5833333333333,62.64583333416667,21.41350923009576,0,0,1402.25,1159.0,2.8680691745409166,0.25
78,3,4,1/28/2016,1,1,0600_0900,4074.25,1358.0833333333333,62.90972222333334,21.6116337711898,0,0,1444.0,1129.0,2.8215027700831024,0.25
78,3,4,1/29/2016,1,1,0600_0900,4163.5,1387.8333333333333,63.09027777916668,22.008756002087072,0,0,1396.25,1215.0,2.981915846016115,0.25
78,3,4,1/3/2016,1,1,0600_0900,1867.75,622.5833333333334,64.11805555583332,9.681359716816722,0,0,478.25,421.0,3.9053842132775745,0.25
78,3,4,1/30/2016,1,1,0600_0900,2518.5,839.5,65.04166666833333,12.890401858301578,0,0,682.25,532.0,3.6914620740197877,0.25
78,3,4,1/31/2016,1,1,0600_0900,1467.25,489.0833333333333,63.40277777916668,7.696433162494775,0,0,303.75,152.0,4.83045267489712,0.25
78,3,4,1/5/2016,1,1,0600_0900,4000.25,1333.4166666666667,63.71527777833334,20.938367640467813,0,0,1387.75,1104.0,2.8825436858223745,0.25
78,3,4,1/6/2016,1,1,0600_0900,4003.0,1334.3333333333333,61.30555555583334,21.77161041775473,0,0,1382.5,1067.0,2.895479204339964,0.25
78,3,4,1/7/2016,1,1,0600_0900,3785.75,1261.9166666666667,58.020833333333336,22.107489944925806,7,8,1281.25,1291.0,2.954731707317073,0.5
78,3,4,1/8/2016,1,1,0600_0900,4024.5,1341.5,63.02777777833333,21.322329754090187,0,0,1442.25,1113.0,2.790431617264691,0.25
78,3,4,1/9/2016,1,1,0600_0900,2617.25,872.4166666666666,64.04861111166667,13.605867877185048,0,0,794.25,543.0,3.2952470884482215,0.25
78,3,4,2/1/2016,1,1,0600_0900,3828.75,1276.25,63.79166666666668,20.015245309660326,0,0,1383.25,1154.0,2.7679378275799746,0.25
78,3,4,2/10/2016,1,1,0600_0900,4142.25,1380.75,63.05555555499999,21.92079626970097,0,0,1433.25,1147.0,2.89010989010989,0.25
78,3,4,2/11/2016,1,1,0600_0900,4153.0,1384.3333333333333,63.12499999916667,21.950728073148913,0,0,1436.5,1209.0,2.891054646710755,0.25
78,3,4,2/12/2016,1,1,0600_0900,4144.5,1381.5,63.263888888333334,21.830795072131977,0,0,1349.0,1132.0,3.0722757598220904,0.25
78,3,4,2/13/2016,1,1,0600_0900,2876.0,958.6666666666666,64.20138888833334,14.912555869440448,0,0,767.25,598.0,3.7484522645812968,0.25
78,3,4,2/14/2016,1,1,0600_0900,1932.25,644.0833333333334,63.79861111083333,10.071595770639478,0,0,503.5,389.0,3.8376365441906652,0.25
78,3,4,2/15/2016,1,1,0600_0900,3593.0,1197.6666666666667,64.04166666583333,18.703494308029203,0,0,1212.5,1004.0,2.963298969072165,0.25
78,3,4,2/16/2016,1,1,0600_0900,4091.25,1363.75,63.645833333333336,21.43258151475918,0,0,1450.75,1140.0,2.8200930553162156,0.25
78,3,4,2/17/2016,1,1,0600_0900,4040.0,1346.6666666666667,63.5277777775,21.21650032484644,0,0,1381.5,1132.0,2.9243575823380383,0.25
78,3,4,2/18/2016,1,1,0600_0900,4058.5,1352.8333333333333,61.999999999166654,21.95206376240874,3,3,1426.25,1481.0,2.8455740578439963,0.25
78,3,4,2/19/2016,1,1,0600_0900,4125.5,1375.1666666666667,63.47916666583333,21.664007397029632,0,0,1404.5,1173.0,2.9373442506229974,0.25
78,3,4,2/2/2016,1,1,0600_0900,4061.5,1353.8333333333333,63.1458333325,21.43556173321842,0,0,966.75,1184.0,4.201189552624774,0.25
78,3,4,2/20/2016,1,1,0600_0900,2963.5,987.8333333333334,64.46527777666667,15.28895538765581,0,0,762.25,582.0,3.8878320760905214,0.25
78,3,4,2/21/2016,1,1,0600_0900,1951.75,650.5833333333334,63.91666666583333,10.137136106473534,0,0,468.25,413.0,4.168179391350774,0.25
78,3,4,2/23/2016,1,1,0600_0900,4128.75,1376.25,62.916666665,21.87864846405364,0,0,1391.5,1214.0,2.967121810995329,0.25
78,3,4,2/24/2016,1,1,0600_0900,4073.25,1357.75,63.23611111166667,21.472636049711056,0,0,1405.0,1228.0,2.8991103202846977,0.25
78,3,4,2/25/2016,1,1,0600_0900,4174.5,1391.5,62.88194444500001,22.14460434380393,0,0,1462.25,1167.0,2.854846982390152,0.25
78,3,4,2/26/2016,1,1,0600_0900,4138.25,1379.4166666666667,63.2291666675,21.82819132023722,0,0,1457.75,1131.0,2.8387926599211113,0.25
78,3,4,2/27/2016,1,1,0600_0900,2937.25,979.0833333333334,64.45833333249999,15.167621606755906,0,0,780.75,597.0,3.7620877361511367,0.25
78,3,4,2/28/2016,1,1,0600_0900,1943.75,647.9166666666666,63.951388890000004,10.105043699771295,0,0,485.25,373.0,4.005667181865018,0.25
78,3,4,2/29/2016,1,1,0600_0900,4128.0,1376.0,63.72916666583333,21.58950330012506,0,0,1359.5,1231.0,3.0364104450165503,0.25
78,3,4,2/3/2016,1,1,0600_0900,4071.0,1357.0,62.45833333249999,21.727955197918714,0,0,1364.0,1133.0,2.9846041055718473,0.25
78,3,4,2/4/2016,1,1,0600_0900,4080.25,1360.0833333333333,62.74305555500001,21.689846348895447,0,0,1386.0,1177.0,2.943903318903319,0.25
78,3,4,2/7/2016,1,1,0600_0900,1734.75,578.25,63.513888888333334,9.095481410493264,0,0,415.5,371.0,4.175090252707581,0.25
78,3,4,2/8/2016,1,1,0600_0900,4003.5,1334.5,63.229166666666664,21.127788432967808,0,0,1392.0,1051.0,2.8760775862068964,0.25
78,3,4,2/9/2016,1,1,0600_0900,4096.0,1365.3333333333333,63.35416666666666,21.555117654021203,0,0,1422.75,1138.0,2.8789316464593218,0.25
84,5,6,1/1/2016,1,1,0600_0900,2270.75,756.9166666666666,68.131944445,11.09478081040646,0,0,554.25,423.0,4.096977898060442,0.25
84,5,6,1/10/2016,1,1,0600_0900,1833.0,611.0,69.62499999916666,8.7665455172819,0,0,490.5,374.0,3.7370030581039755,0.25
84,5,6,1/11/2016,1,1,0600_0900,4589.25,1529.75,63.79166666833334,24.017114096570666,0,0,1594.75,1200.0,2.877723781156921,0.25
