link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_hour_factor,congestion_period
78,3,4,1/1/2016,1,1,0900_1400,5425.25,1085.05,64.57083333249999,16.79748213193425,0,0,972.5,1170.0,5.57866323907455,0.25
78,3,4,1/10/2016,1,1,0900_1400,5730.5,1146.1,65.16666666649999,17.59337112100556,0,0,1296.0,770.0,4.421682098765432,0.25
78,3,4,1/11/2016,1,1,0900_1400,7065.0,1413.0,51.112500001,29.71090371678515,1,6,1794.0,1196.0,3.9381270903010033,1.5
78,3,4,1/12/2016,1,1,0900_1400,7069.25,1413.85,62.3875000005,22.701347696521616,0,0,1194.0,1235.0,5.920644891122278,0.25
78,3,4,1/13/2016,1,1,0900_1400,6987.5,1397.5,62.895833333000006,22.276007584000823,0,0,1206.75,1330.0,5.790345970582142,0.25
78,3,4,1/14/2016,1,1,0900_1400,6949.25,1389.85,62.116666666499995,22.469820238604722,19,19,1200.5,1549.0,5.788629737609329,0.25
78,3,4,1/15/2016,1,1,0900_1400,6699.25,1339.85,45.791666667499996,31.47390166878853,5,14,3092.5,1237.0,2.166289409862571,2.5
78,3,4,1/16/2016,1,1,0900_1400,6983.5,1396.7,50.416666666,28.86214031462999,4,9,1999.5,1333.0,3.492623155788947,1.5
78,3,4,1/17/2016,1,1,0900_1400,6599.25,1319.85,64.36666666800001,20.53553948097746,0,0,1410.25,925.0,4.679489452224783,0.25
78,3,4,1/18/2016,1,1,0900_1400,6800.75,1360.15,63.6375000005,21.440189764993498,0,0,1190.0,1079.0,5.714915966386554,0.25
78,3,4,1/19/2016,1,1,0900_1400,6950.0,1390.0,61.670833333999994,22.739039906634602,19,19,1126.5,1527.0,6.1695517088326675,0.25
78,3,4,1/2/2016,1,1,0900_1400,6120.0,1224.0,66.0083333335,18.55984620091246,0,0,1260.75,823.0,4.854253420582986,0.25
78,3,4,1/20/2016,1,1,0900_1400,6946.0,1389.2,62.912500001,22.167999995167783,0,0,1205.25,1264.0,5.7631196847127155,0.25
78,3,4,1/21/2016,1,1,0900_1400,7094.0,1418.8,62.2208333335,22.896262119678774,0,0,1531.25,1299.0,4.632816326530612,0.25
78,3,4,1/22/2016,1,1,0900_1400,7658.75,1531.75,58.35416666599999,26.448281499809912,18,19,1477.5,1443.5,5.183587140439933,0.5
78,3,4,1/23/2016,1,1,0900_1400,7158.5,1431.7,63.775,22.482519933292625,0,0,1559.5,1031.0,4.590253286309714,0.25
78,3,4,1/24/2016,1,1,0900_1400,5902.0,1180.4,64.46249999950001,18.31821195388027,0,0,1154.5,828.0,5.112169770463404,0.25
